id,name,class,latitude,longitude
69,City of Palo Alto Refuse Disposal Site,Composting_Sites,37.44941010138665,           -122.1074
70,City of Porterville Solid Waste Transfer,Composting_Sites,36.07588012223604,           -119.04463
71,City Of Redding Transfer Station/MRF,Composting_Sites,40.57509005301169,           -122.31296
72,City of Santa Cruz Resource Recovery Fac,Composting_Sites,36.97611010860398,           -122.10608
73,City of Turlock Water Qual. Control Fac,Composting_Sites,37.48709010081067,           -120.869
74,City Of Watsonville Landfill,Composting_Sites,36.91409010954728,           -121.824
75,CJ Shannon LLC AG Material Operation,Composting_Sites,36.23439011984527,           -119.26789
76,Clean Green Recycling,Composting_Sites,36.94000010915327,           -121.41151
77,"Clean Planet, Inc.",Composting_Sites,37.94361009381643,           -121.32172
78,Clean World Anaerobic Digester UC Davis,Composting_Sites,38.52785008482496,           -121.80978
79,Clean World Partners AD at SATS,Composting_Sites,38.52333008489469,           -121.38687
80,Clover Flat Resource Recovery Park,Composting_Sites,38.58409008395714,           -122.534
81,CLS Landscape Management,Composting_Sites,34.05974015225073,           -117.71131
82,Coachella Valley Composting Facility,Composting_Sites,33.72760015711932,           -116.14377
83,Cold Canyon Landfill GrnMatCompFac,Composting_Sites,35.18703013556183,           -120.59694
84,"Cold Canyon Landfill, Inc.",Composting_Sites,35.18739013555646,           -120.59579
85,"Cold Creek Compost, Inc.",Composting_Sites,39.25149007363039,           -123.10071
86,"Comgro, Inc.",Composting_Sites,36.93049010929789,           -121.445
87,"Compost Solutions, Inc.",Composting_Sites,39.68317006692467,           -122.1576
88,"Converted Organics of California, LLC",Composting_Sites,36.53521011529669,           -121.4046
89,Corinda Los Trancos Landfill ( Ox Mtn),Composting_Sites,37.50066010060318,           -122.41078
90,"Countryside Mushrooms, Inc.",Composting_Sites,37.06938010718434,           -121.57193
91,CR & R Lakeview,Composting_Sites,33.83138015560053,           -117.04311
92,"Cranford, Incorporated",Composting_Sites,36.62726011390193,           -121.65428
93,CVT Regional Material Recovery and TS,Composting_Sites,33.84931015533793,           -117.87
94,D.A.T.T.,Composting_Sites,37.11322010651663,           -120.56152
95,Davey Tree Company,Composting_Sites,37.70086009753915,           -122.4079
96,Davey Tree Surgery Company,Composting_Sites,34.20436015012374,           -118.40014
97,Davis Waste Removal`s Green Material Op.,Composting_Sites,38.55438008441566,           -121.66203
98,Del Norte Transfer Station,Composting_Sites,41.75466003451118,           -124.16918
99,Del Toro Wood Grinding,Composting_Sites,37.02101010792075,           -121.52676
100,Delicato Vineyards,Composting_Sites,37.85661009515155,           -121.22003
101,Demler Enterprises-Delano,Composting_Sites,35.75889012700435,           -119.33784
102,Dept. of Rec. & Parks Greenwaste Rec.,Composting_Sites,34.11731015140455,           -118.27222
103,Dolcini Brothers Composting Operation Ag,Composting_Sites,38.15490009056976,           -122.49964
104,Duncan Family Farms,Composting_Sites,34.9283001394139,           -119.67694
105,Dune Spreading LLC dba Imperial Compost,Composting_Sites,32.90717016904414,           -115.4298
